months_after_first_purchase,avg_retention
0,1.0
1,0.0438497411743602
2,0.0024573003129609405
3,0.0017352641383995338
4,0.0018610874803023133
5,0.0013598724029307949
6,0.001614876463377645
7,0.0010931578580283677
8,0.001022666426380491
9,0.0008561924166461367
10,0.0010591830605857324
11,0.0008882912619041188
12,0.0007611177023268831
13,0.00057751938278373
14,0.0003470515183469569
15,0.0004249695441896038
16,0.00024292611937562562
17,0.0004337008829548909
19,0.0003015772047430314
20,0.00024922118380062304
