category,revenue,orders
health_beauty,1258681.34,8836
watches_gifts,1205005.68,5624
bed_bath_table,1036988.68,9417
sports_leisure,988048.97,7720
computers_accessories,911954.32,6689
furniture_decor,729762.49,6449
cool_stuff,635290.85,3632
housewares,632248.66,5884
auto,592720.11,3897
garden_tools,485256.46,3518
toys,483946.6,3886
baby,411764.89,2885
perfumery,399124.87,3162
telephony,323667.52999999997,4199
office_furniture,273960.7,1273
stationery,230943.23,2311
computers,222963.13,181
pet_shop,214315.41,1710
musical_instruments,191498.88,628
small_appliances,190648.58,630
electronics,160246.74,2550
consoles_games,157465.22,1062
fashion_bags_accessories,152823.54,1864
construction_tools_construction,144677.59,748
luggage_accessories,140429.98,1034
home_appliances_2,113317.74,234
home_construction,83088.12,490
home_appliances,80171.53,764
agro_industry_and_commerce,72530.47,182
furniture_living_room,68916.56,422
fixed_telephony,59583.0,217
home_confort,58572.04,397
air_conditioning,55024.96,253
audio,50688.5,350
small_appliances_home_oven_and_coffee,47445.71,75
books_general_interest,46856.88,512
kitchen_dining_laundry_garden_furniture,46328.37,248
construction_tools_lights,41080.0,244
construction_tools_safety,40544.52,167
industry_commerce_and_business,39669.61,235
food,29393.41,450
market_place,28378.47,280
costruction_tools_garden,25715.89,194
art,24202.64,202
fashion_shoes,23562.77,240
drinks,22428.7,297
signaling_and_security,21509.23,140
furniture_bedroom,20028.78,95
books_technical,19096.06,260
costruction_tools_tools,15903.95,97
food_drink,15179.48,227
fashion_male_clothing,10797.82,112
fashion_underwear_beach,9541.55,121
christmas_supplies,8800.82,128
tablets_printing_image,7528.41,79
cine_photo,6933.46,65
music,6034.35,38
dvds_blu_ray,5999.39,59
books_imported,4639.85,53
party_supplies,4485.18,39
furniture_mattress_and_upholstery,4368.08,38
portateis_cozinha_e_preparadores_de_alimentos,3968.5299999999997,14
fashio_female_clothing,2803.64,39
fashion_sport,2119.51,27
la_cuisine,2054.99,13
arts_and_craftmanship,1814.01,23
diapers_and_hygiene,1567.59,27
pc_gamer,1545.95,8
flowers,1110.04,29
home_comfort_2,760.27,24
cds_dvds_musicals,730.0,12
fashion_childrens_clothes,569.85,8
security_and_services,283.28999999999996,2
