category,revenue,orders,avg_review,late_rate,avg_delivery_days
health_beauty,1258681.34,8836,4.183800266819135,0.07377979568671963,11.630523019830685
watches_gifts,1205005.68,5624,4.073324905183313,0.07270773638968481,12.365303502659087
bed_bath_table,1036988.68,9417,3.9744639586251482,0.07341502397442727,12.531926406926408
sports_leisure,988048.97,7720,4.17710384665879,0.06429316640584246,11.800481412142284
computers_accessories,911954.32,6689,4.0271878294923935,0.06243449618206318,12.731553919312779
furniture_decor,729762.49,6449,4.023730158730158,0.07023622047244095,12.641430412371134
cool_stuff,635290.85,3632,4.186164229471316,0.058233491223181943,11.945676905574517
housewares,632248.66,5884,4.154219372725698,0.05299380591878871,10.645212484570623
auto,592720.11,3897,4.0913200723327305,0.07144692881007453,11.88088351301604
garden_tools,485256.46,3518,4.147816025455597,0.06467375682667433,13.20257988859572
toys,483946.6,3886,4.198398109243698,0.06274407706326478,11.294493216280927
baby,411764.89,2885,4.045151089248067,0.07874564459930314,12.234073013600574
perfumery,399124.87,3162,4.2066709224385574,0.06422893481717011,11.46336698143927
telephony,323667.52999999997,4199,4.008924264351182,0.06966722528130237,12.49349054286416
office_furniture,273960.7,1273,3.6276935355147644,0.07996832937450514,20.258038585209004
stationery,230943.23,2311,4.253301056338028,0.06468531468531469,12.366354306113342
computers,222963.13,181,4.192090395480226,0.05555555555555555,13.5
pet_shop,214315.41,1710,4.247044917257683,0.05055849500293945,10.93627159023228
musical_instruments,191498.88,628,4.186385737439222,0.0738362760834671,12.661716171617162
small_appliances,190648.58,630,4.18578352180937,0.0464,10.562913907284768
electronics,160246.74,2550,4.098692033293698,0.07553107789142408,12.463531287365484
consoles_games,157465.22,1062,4.069047619047619,0.05849056603773585,13.293307086614174
fashion_bags_accessories,152823.54,1864,4.187837837837838,0.054868208714362564,10.767749036873967
construction_tools_construction,144677.59,748,4.0968834688346885,0.07267833109017496,10.411764705882353
luggage_accessories,140429.98,1034,4.340508806262231,0.04191033138401559,10.415430267062314
home_appliances_2,113317.74,234,4.138528138528138,0.060085836909871244,13.4070796460177
home_construction,83088.12,490,4.066810344827586,0.06209850107066381,13.123913043478261
home_appliances,80171.53,764,4.160096364432764,0.04319371727748691,10.88888888888889
agro_industry_and_commerce,72530.47,182,4.021978021978022,0.038461538461538464,11.0
furniture_living_room,68916.56,422,4.064039408866995,0.07542579075425791,13.575682382133994
fixed_telephony,59583.0,217,3.9018691588785046,0.04608294930875576,12.080188679245284
home_confort,58572.04,397,3.9226361031518624,0.09971509971509972,13.283236994219653
air_conditioning,55024.96,253,4.028112449799197,0.039525691699604744,11.414634146341463
audio,50688.5,350,3.8342939481268012,0.11714285714285715,13.028735632183908
small_appliances_home_oven_and_coffee,47445.71,75,4.293333333333333,0.05333333333333334,9.5
books_general_interest,46856.88,512,4.461538461538462,0.06262230919765166,11.105263157894736
kitchen_dining_laundry_garden_furniture,46328.37,248,4.049792531120332,0.04526748971193416,11.521186440677965
construction_tools_lights,41080.0,244,4.156779661016949,0.06694560669456066,9.354430379746836
construction_tools_safety,40544.52,167,3.8703703703703702,0.024539877300613498,11.23225806451613
industry_commerce_and_business,39669.61,235,4.2043478260869565,0.06896551724137931,10.482456140350877
food,29393.41,450,4.2727272727272725,0.0696629213483146,9.357798165137615
market_place,28378.47,280,4.07089552238806,0.040740740740740744,11.943181818181818
costruction_tools_garden,25715.89,194,4.221052631578948,0.05263157894736842,11.559139784946236
art,24202.64,202,4.040201005025126,0.05970149253731343,10.79896907216495
fashion_shoes,23562.77,240,4.228632478632479,0.046218487394957986,15.253218884120171
drinks,22428.7,297,4.170068027210885,0.05084745762711865,9.919298245614035
signaling_and_security,21509.23,140,4.131386861313868,0.04316546762589928,10.416058394160585
furniture_bedroom,20028.78,95,4.134408602150538,0.06451612903225806,13.375
books_technical,19096.06,260,4.400778210116732,0.08076923076923077,10.21484375
costruction_tools_tools,15903.95,97,4.425531914893617,0.061855670103092786,11.762886597938145
food_drink,15179.48,227,4.38,0.035398230088495575,10.436363636363636
fashion_male_clothing,10797.82,112,3.7027027027027026,0.044642857142857144,12.377358490566039
fashion_underwear_beach,9541.55,121,3.933333333333333,0.09090909090909091,13.564102564102564
christmas_supplies,8800.82,128,4.055555555555555,0.078125,14.936
tablets_printing_image,7528.41,79,4.162162162162162,0.05263157894736842,12.671052631578947
cine_photo,6933.46,65,4.230769230769231,0.06153846153846154,10.031746031746032
music,6034.35,38,4.297297297297297,0.05405405405405406,11.054054054054054
dvds_blu_ray,5999.39,59,4.0701754385964914,0.06896551724137931,12.527272727272727
books_imported,4639.85,53,4.320754716981132,0.03773584905660377,7.72
party_supplies,4485.18,39,4.0,0.0,8.64864864864865
furniture_mattress_and_upholstery,4368.08,38,3.8157894736842106,0.13157894736842105,13.891891891891891
portateis_cozinha_e_preparadores_de_alimentos,3968.5299999999997,14,3.4285714285714284,0.07142857142857142,8.076923076923077
fashio_female_clothing,2803.64,39,3.730769230769231,0.05128205128205128,12.416666666666666
fashion_sport,2119.51,27,4.4,0.04,9.791666666666666
la_cuisine,2054.99,13,4.545454545454546,0.0,6.545454545454546
arts_and_craftmanship,1814.01,23,4.173913043478261,0.043478260869565216,5.391304347826087
diapers_and_hygiene,1567.59,27,3.740740740740741,0.0,9.96
pc_gamer,1545.95,8,3.4285714285714284,0.0,9.5
flowers,1110.04,29,4.538461538461538,0.037037037037037035,11.333333333333334
home_comfort_2,760.27,24,3.9545454545454546,0.13043478260869565,14.043478260869565
cds_dvds_musicals,730.0,12,4.666666666666667,0.0,10.5
fashion_childrens_clothes,569.85,8,4.333333333333333,0.0,8.6
security_and_services,283.28999999999996,2,2.5,0.0,15.0
