customer_state,revenue,orders,avg_review,late_rate,avg_delivery_days,avg_freight
SP,5202955.05,41746,4.1741255144032925,0.04359699132851052,8.298061489072724,17.370950332326284
RJ,1824092.67,12852,3.877262814954941,0.11632430750077809,14.84918643244556,23.945252311549915
MG,1585308.03,11635,4.135753851480007,0.0446927374301676,11.543813298106562,23.462704435204436
RS,750304.02,5466,4.133657909241228,0.059458470545188435,14.819236526946108,24.948958026509573
PR,683083.76,5045,4.181111775254035,0.03944499504459861,11.52671135486492,23.579767907162864
SC,520553.34,3637,4.073704627320588,0.08001099807533682,14.479560191711306,24.82288482834994
BA,511349.99,3380,3.861077844311377,0.11715976331360947,18.86640049140049,29.82628945801072
DF,302603.94,2140,4.066964285714286,0.05514018691588785,12.509134615384616,23.823764705882354
GO,294591.95,2020,4.043348281016442,0.06336633663366337,15.15074092999489,26.4648629795715
ES,275037.31,2033,4.038384845463609,0.10526315789473684,15.331829573934836,24.57511111111111
PE,262788.03,1652,4.008562691131498,0.09261501210653753,17.965473948524796,36.07382281553398
CE,227254.71,1336,3.854449472096531,0.1317365269461078,20.817826426896012,36.43676714393368
PA,178947.81,975,3.8461538461538463,0.10871794871794872,23.316067653276956,39.89618556701031
MT,156453.53,907,4.101666666666667,0.05843439911797133,17.59367945823928,32.90745293466224
MA,119648.22,747,3.7580862533692723,0.16733601070950468,21.11715481171548,42.59968918918919
MS,116812.64,715,4.109396914446003,0.0951048951048951,15.191155492154065,27.00145275035261
PB,115268.08,536,4.016981132075472,0.10074626865671642,19.95357833655706,48.34535714285714
PI,86914.08,495,3.9183673469387754,0.13333333333333333,18.993697478991596,43.03894523326572
RN,83034.98,485,4.105208333333334,0.09072164948453608,18.824894514767934,39.12883817427386
AL,80314.81,413,3.7609756097560973,0.20581113801452786,24.04030226700252,38.7216301703163
SE,58920.85,350,3.8080229226361033,0.1457142857142857,21.029850746268657,40.902811594202895
TO,49621.74,280,4.096774193548387,0.09642857142857143,17.226277372262775,42.0526164874552
RO,46140.64,253,4.051587301587301,0.02766798418972332,18.91358024691358,46.22421052631579
AM,22356.84,148,4.205479452054795,0.02702702702702703,25.986206896551725,37.27136054421769
AC,15982.95,81,4.049382716049383,0.037037037037037035,20.6375,45.51543209876543
AP,13474.3,68,4.1940298507462686,0.029411764705882353,26.73134328358209,41.00735294117647
RR,7829.43,46,3.608695652173913,0.10869565217391304,28.975609756097562,48.59108695652174
